full_name	category	status	action	starred_at	pushed_at	archived	stars	language	topics	description
yapstudios/YapAnimator	桌面 / 行動 App	1. 已封存	UNSTAR	2017-07-22	2026-03-07	True	1932	Swift	animation|design|ios|mac|macos|macosx|motion|physics-simulation|swift	Your fast and friendly physics-based animation system.
uncss/uncss	前端 / UI	4. 停更 (2-3年)	REVIEW	2017-07-20	2024-06-18	False	9399	JavaScript	build-tool|cleanup|css|javascript|postcss|stylesheets|uncss|unusedcss	Remove unused styles from CSS
coells/100days	機器學習 / 資料科學	3. 長期停更 (>3年)	UNSTAR	2017-07-17	2018-05-11	False	7475	Jupyter Notebook		100 days of algorithms
peterramsing/lost	前端 / UI	4. 停更 (2-3年)	UNSTAR	2017-07-17	2024-03-03	False	4453	JavaScript	css|grid|javascript|postcss	LostGrid is a powerful grid system built in PostCSS that works with any preprocessor and even vanilla CSS.
sdras/intro-to-vue	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-07-17	2023-03-05	False	2764	Vue	introduction-to-nuxt|introduction-to-vue|nuxt|vue|vue-animations|vue-cli|vue-directive|vue-methods|vue-watchers|vuex	Workshop Materials for my Introduction to Vue.js Workshop
azat-co/practicalnode	後端 / API / 框架	4. 停更 (2-3年)	UNSTAR	2017-07-16	2023-10-04	False	3779	JavaScript	apress|aws|aws-ec2|express|express-js|expressjs|javascript|mocha|mongodb|node-js|node-module|nodejs|rest-api	Practical Node.js, 1st and 2nd Editions [Apress] 📓
wpbrasil/odin	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-07-15	2021-07-06	False	562	PHP	framework|theme|wordpress	Framework and base theme for development with WordPress.
jjgrainger/wp-custom-post-type-class	後端 / API / 框架	1. 已封存	UNSTAR	2017-07-15	2017-05-19	True	411	PHP	custom-post-types|wordpress	A PHP Class for creating Wordpress Custom Post Types easily
wecodemore/WordPress-Gear	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-07-15	2021-10-27	False	454	CSS	wordpress|wordpress-development	 A bunch of gear for WP developers
scribu/wp-posts-to-posts	後端 / API / 框架	4. 停更 (2-3年)	UNSTAR	2017-07-15	2024-05-29	False	973	PHP	wordpress	Efficient many-to-many connections between posts, pages, custom post types, users.
