full_name	category	status	action	starred_at	pushed_at	archived	stars	language	topics	description
GoneToneStudio/line-example-bot-tiny-php	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-12-21	2021-02-27	False	77	PHP	bot|example|line|php	Line Bot 基礎範例程式碼教學 (PHP) - 輕量版 LINEBotTiny.php
KubaSzostak/pdf-to-jpg	資料處理 / 爬蟲	3. 長期停更 (>3年)	UNSTAR	2017-12-20	2022-06-24	False	205	Batchfile		Script to convert PDF to JPEG using Ghostscript library
schn4ck/schnack	後端 / API / 框架	3. 長期停更 (>3年)	UNSTAR	2017-12-20	2023-03-03	False	1813	JavaScript	commenting|disqus|disqus-clone|nodejs|schnack	🗣️ Simple self-hosted node app for Disqus-like drop-in commenting on static websites 
85Ryan/wp2wb	後端 / API / 框架	1. 已封存	UNSTAR	2017-12-18	2019-02-23	True	14	PHP	plugin|sync|sync-to-weibo|weibo|wordpress|wordpress-plugin	同步 WordPress 文章到微博
medialab/artoo	資料處理 / 爬蟲	3. 長期停更 (>3年)	UNSTAR	2017-12-10	2021-03-31	False	1118	JavaScript	scraping	artoo.js - the client-side scraping companion.
youfou/wxpy	後端 / API / 框架	1. 已封存	UNSTAR	2017-12-06	2019-07-14	True	14260	Python	api|wechat|weixin	微信机器人 / 可能是最优雅的微信个人号 API ✨✨
littlecodersh/ItChat	後端 / API / 框架	4. 停更 (2-3年)	REVIEW	2017-12-06	2023-09-28	False	26470	Python	api|itchat|robot|wechat	A complete and graceful API for Wechat. 微信个人号接口、微信机器人及命令行微信，三十行即可自定义个人号机器人。
haltu/muuri	其他 / 未分類	4. 停更 (2-3年)	REVIEW	2017-12-06	2024-05-25	False	10946	JavaScript	bin-packing|dnd|drag-and-drop|draggable|filter|grid|layout|muuri|sort	Infinite responsive, sortable, filterable and draggable layouts
reactopt/reactopt	前端 / UI	3. 長期停更 (>3年)	UNSTAR	2017-12-05	2018-03-23	False	1973	JavaScript	chromium|command-line-interface|commandline|commandline-interface|component|developer-tools|javascript|npm|npm-module|npm-package|optimization|puppeteer|react|react-component|react-devtools|reactjs|testing|testing-tools	A CLI React performance optimization tool that identifies potential unnecessary re-rendering
kren1/tosheets	開發工具 / CLI	3. 長期停更 (>3年)	UNSTAR	2017-11-19	2020-07-14	False	543	Python	command-line|google-sheets|google-spreadsheet|pipe|python|stdin	Send your stdin to google sheets
